Tests 1,Tests 2,Tests 3,Tests 4,Tests 5,Tests 6,Tests 7,density,emergency,quarantine,gatherings,travel,school,daycares,restauraunts,retail,party
0.0,0.04119020469472223,0.49084993927877324,1.6510407048467828,15.490949482273452,28.22558776705841,45.49114856826281,36.0,8.0,29.0,10.0,2.0,3.0,1.0,3.0,3.0,1.0
0.0,0.031336223577687984,0.34693676103868837,3.516371945753416,12.402429631712078,37.29682096250106,54.988357473790046,112.0,5.0,25.0,10.0,3.0,3.0,3.0,3.0,3.0,1.0
0.0,0.010755477657216043,0.5291695007350293,7.524532168988344,59.953183556853666,129.76483793431157,223.81073456900864,108.0,10.0,22.0,11.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.0,0.9401519302929574,8.738480055793955,56.71379468387609,104.41344748054516,169.5233212085653,871.0,9.0,23.0,11.0,3.0,3.0,3.0,3.0,3.0,2.0
0.0,0.09097405089253814,0.2067592065739503,0.5590768945759617,22.483823159677655,46.87148509348824,82.31332124756851,618.0,4.0,29.0,10.0,3.0,3.0,3.0,3.0,3.0,2.0
0.0,0.0074393027290338126,0.6992944565291785,17.504679321416564,27.131137052786315,48.78694729700375,49.99955364183626,43.0,14.0,32.0,10.0,3.0,3.0,3.0,3.0,2.0,1.0
0.009011844266920014,0.19425530975360916,1.6872175099733582,8.821594221285034,25.719803537789716,57.9741954851261,79.54154144792501,175.0,10.0,23.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.0868851017229493,2.521441115306814,8.2984137972123,31.30878043106359,47.48004834357987,66.353620236214,68.0,12.0,26.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.0016293470163723305,0.20692707107928598,0.7478702805148998,20.17946279777131,44.39807684912964,73.64648514002934,88.0,12.0,36.0,10.0,1.0,3.0,1.0,3.0,3.0,2.0
0.0,0.0,0.3158444016075808,4.438621856634194,11.14863536738248,24.25281798727147,71.94868267684178,63.0,3.0,33.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0
0.0,0.1029212801910219,1.029212801910219,11.012576980439343,40.20479463462009,61.78083755466523,83.39430639477983,7.0,11.0,27.0,10.0,3.0,3.0,3.0,3.0,3.0,1.0
0.0,0.0019069259933463538,0.24694691613835282,6.138394772581913,18.06335647197334,38.18142570177737,59.247237150274536,206.0,9.0,29.0,10.0,1.0,3.0,3.0,3.0,3.0,1.0
0.0,0.0,1.2597400211531347,16.90151195047122,45.311273885851804,89.06099503714921,135.81572103057232,10.0,12.0,50.0,50.0,3.0,3.0,3.0,3.0,3.0,2.0
0.0,0.09305172435184304,0.5014454034515986,2.088494257674699,10.731965541912565,30.608847771514593,55.267554724753,24.0,12.0,50.0,10.0,2.0,3.0,2.0,2.0,1.0,2.0
0.0,0.3088891683600412,2.0886791384345647,9.21519352274123,34.84563999261608,59.07137619685359,80.34795629365358,148.0,12.0,26.0,50.0,3.0,3.0,3.0,3.0,3.0,2.0
